category,text
Others,"""'singapore airlines boeing 777-312/er 9v-swq 棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__棄__... T_URL T_URL '"""
News,"""'22 people injured onbard a @singaporeair @airbus flyin'... T_URL via @muhammad_fall '"""
Rant,"""'i know angry tweets are banal tweets, but there is no word to describe how appalling singapore airlines have been with my booking. '"""
News,"""'canada-toronto star: teens sue malaysia airlines, government over missing flight 370 . more - T_URL '"""
Others,"""'rt @ronfeir: silkair opens denpasar flight schedule - singapore airlines_棄__棄__ (sia) regional offshoot, silkair, will start daily fl... T_URL '"""
Others,"""' calling via @british_airways. oh, if only i had the time and $ T_POS_EMO T_URL '"""
News,"""'world australia says hunt for malaysia airlines flight 370 will take months T_URL '"""
Rant,"""'""negative @british_airways: @dekemio hi dekemi, we are sorry about your bags. pls use this link to track them. ^kuda T_URL '"""
Others,"""'@british_airways with d newcomer at home _棄__棄__棄___棄__棄__棄___棄__棄__棄__ T_URL '"""
News,"""'omg! malaysia airlines tragedies were caused by _棄__棄__un-islamic behaviors_並_ like serving alcohol and exposing flight atten T_URL '"""
Rant,"""'still waiting for a response from @british_airways to my email from 9 days ago. funny, as i do not remember sending it via carrier pigeon... '"""
Rant,"""'rt @andyclamb: @slboot @british_airways 2014 with all the technology in the world on baggage systems with barcoded bags how difficult can i_棄___ '"""
News,"""'wonderful day for the malaysia airlines dish launch with the amazing pohlingyeow and chef zahiddin_棄___ T_URL '"""
Others,"""'my malaysia airlines pilot costume did not survive the night so now i'm a pirate again. '"""
News,"""'@yoan_x7 malaysia airlines sued by 2 boys over flight 370: T_URL @yoan_x7 '"""
News,"""'new british airways sign up offer - T_URL via @dealswelike '"""
Others,"""'i found malaysia airlines flight 370. thanks google maps, boredom and insomnia! T_URL '"""
Ads,"""' (british airways ad - long version): T_URL via @youtube '"""
Others,"""'@mnaylerlm @british_airways @borderpol budapest is perfectly magnificent. check out: T_URL '"""
Others,"""'see all culinary awards 2014 winners. ratings at the bottom. airlines is great. T_URL '"""
Rave,"""'our preferred airline : @british_airways arrive @ port of embarkation having enjoyed super inflight service &lt;3 their loyalty program '"""
News,"""'western leaders urge russia to pressure rebels in ukraine over access to the malaysia airlines crash site, where monitors are being impeded. '"""
Query,"""'@british_airways why scrap the sun even lhr to bru flight? just been asked if we would like to fly tomorrow morning for cash! clearly demand '"""
Rant,"""'how cathay pacific screwed up my december trip棄___booking T_URL '"""
Query,"""'@british_airways my daughter is onboard 84 from yvr tonite bound for lhr. seat 43h take good care of her for me pls. '"""
Ads,"""'taiwan travel offers most competitive price for both emirates and singapore airlines. reservation hotline:... T_URL '"""
Rave,"""'great achievement !! @british_airways ! completed 90 years of flying to india. '"""
Rant,"""'@mas taking off soon mh0711. let us hope your air crew is better than your ground staff and the folks manning the twitter acc '"""
News,"""'behind the scenes for 2014 formula 1 singapore airlines singapore grand棄___prix T_URL '"""
Rave,"""'pre flight drinks! mine's the @british_airways T_URL '"""
Others,"""'@hazeparsons or ""suites class""... one up from first T_POS_EMO T_URL '"""
Ads,"""' tweet pic of ur celebration and grab a chance to be in high life magazine with @british_airways '"""
Urgent,"""'@british_airways i have dm u to call please, thank u '"""
Rant,"""'@british_airways i wasn_棄__棄__t moved for that reason. i had an awful flight. '"""
Rant,"""'if i wanted a cheap luggage free travel i would have booked easy jet not @british_airways - not a happy customer '"""
Others,"""'@hulstone @steeliteuk @british_airways looking forward to that when i fly back to hk monday chef! '"""
Rant,"""'@british_airways american airlines saying they have nothing that they can put me on in any class. '"""
News,"""' malaysia airlines flight mh370: missing jetliner's wreckage claims dismissed by australia; search enters T_URL '"""
Rave,"""'rt @ambermatthews: looking at new @cathaypacific design philosophy _棄__棄__softly spoken, strongly felt_並_. release the brushwing! T_URL '"""
Rant,"""'@british_airways impossibile to watch movies with your headphones. volume too low, could not hear anything! ! same other passengers '"""
News,"""'rt @airbus: congrats to @british_airways for launching a new route between london @heathrowairport &amp;singapore @fansofchangi T_URL '"""
Rave,"""'a hotel booking problem left us temporarily homeless in rome. a few phone calls later and @british_airways got us somewhere to sleep. '"""
Query,"""'receiving this screen whilst applying for a live position. please help @british_airways T_URL '"""
Query,"""'how many bags does @british_airways allow? '"""
Others,"""'awaited moment to with @mas again from ams-kul at 12:00 utc +2:00. T_URL '"""
Query,"""'@photo_journ @mas oh dear. were you in bus or econ? '"""
News,"""'rt @ascentac: british airways and iberia reach partial agreement with edreams over fares T_URL '"""
Others,"""'icymi: our writer @likeablonde takes a look at the first class on british airways (@british_airways): T_URL '"""
Rave,"""'@british_airways friend selected in ias mains. celebrating his success by baking a cake for him T_URL '"""
News,"""'malaysia airlines sued by 2 teens over missing flight 370: kuala lumpur, malaysia &gt;&gt; two malaysian ... T_URL '"""
Others,"""'@british_airways the get together party during the final days of college. _棄__棄__棄___棄__棄__棄___棄__棄__棄__ T_URL '"""
News,"""'rt @weayl: spanish air force jet forces british airways flight to veer off course on gibraltar landing T_URL '"""
Rant,"""'the preferred seat supplements on @americanair @british_airways are an absolute con. having to pay extra just to sit next to my wife. '"""
News,"""'2 malaysian boys sue malaysia airlines, government over loss of father in missing flight 370 : T_URL '"""
Query,"""'_棄__棄__@british_airways: @pandoravt i can then provide you with the update what about us? '"""
News,"""'hunt for malaysia airlines flight mh370 could take months T_URL '"""
Others,"""'@diarioazafata singapore airlines? '"""
Rant,"""'@british_airways airways i am never going to fly with you again you stink. you are not the uk favourite airline your appalling. '"""
Query,"""'@samyboy88 @british_airways have you got your accommodation and activities sorted? T_URL '"""
Rant,"""'@british_airways thanks for choosing to ignore my complaint after ruining my anniversary. '"""
Ads,"""'@vandiablo an awesome chance to win free tickets to london ! share your celebrations with @british_airways '"""
Lead,"""'@hanshonk i'm aiming for a @british_airways flight to la next year. T_POS_EMO '"""
News,"""'rt @katykatopodis: rt @mh370news: malaysia airlines sued by 2 boys over missing flight - firstpost T_URL '"""
Others,"""'ba1464 ready to go. time to turn this to airline mode and pay attention to the safety vid (@british_airways) '"""
Rave,"""'plenty of room to stretch out on the upper deck of @british_airways 747 service from bos to lhr in_棄___ T_URL '"""
Query,"""'@blanquish _棄__棄__@british_airways: @abarron87 unfortunately not, alex. you cannot earn avios when spending them. ^liam_並_ '"""
Rant,"""'@lsutherland @british_airways ok, i can live with 22mins, but that is what they told us today, then the plane to london was cancelled T_NEG_EMO '"""
Ads,"""'join in to celebrate 90 years of service of @british_airways to india with and win a chance to fly to london. '"""
Query,"""'@british_airways what are the chances of you changing your systems to allow for online check-in/ app use for group bookings? '"""
Rant,"""'@british_airways this is ridiculous! first you cancel my flight, then you deny the refund you promised??? '"""
Rant,"""'@british_airways u r in breach of ec regulation 261/2004 article 7, right to compensation and article 9 right to care.... '"""
Rant,"""'@british_airways your website says contact ba or travel agent so implies it is possible. and you gave me my ref over the phone last year!!! '"""
News,"""'g-zbje operated the inaugural ba35/36 service to chennai today!! T_URL '"""
Others,"""'rt @bisuai: the only thing that i can think of when i see sia is singapore airlines lol '"""
Query,"""'@british_airways but what can i do on my 7 hour flight to new york (then back) in the meantime? not eat? '"""
News,"""'ukraine expresses a most deepest concern about the airplane ""malaysia airlines"" shot down above donetsk with a russian missile. '"""
Ads,"""'@british_airways is celebrating 90 years of flying to india.tweet your celebration pictures with &amp; u can win tickets to london '"""
Ads,"""'@british_airways when it comes to celebration my frnz celebrated my bday in kishkinta in memorable way T_URL '"""
Rave,"""'in cathay pacific 1st class lounge (flying to bangkok, thailand) thank you singapore for welcoming me_棄___ T_URL '"""
Rave,"""'completely relaxed. wine in hand, waiting to fly @british_airways to barcelona. south galleries lounge is a good'un '"""
Rant,"""'@british_airways worse flight of my life 1) seat so narrow &amp; knackered could feel metal frame down middle both shoulder blades for 10 hrs. '"""
News,"""' missing wreckage found: T_URL '"""
Query,"""'@british_airways well the online form no longer responds to the case number so i presume that it has expired. '"""
Query,"""'@british_airways hi, is there any two seaters on american flights or is it all 3 seaters?travelling heathrow to las vegas,cannot see online? '"""
Others,"""'paris vs nyc par british airways T_URL '"""
Others,"""'sign: @british_airways: stop selling trips to end support for cruel T_URL '"""
Query,"""'rt @guydevere: @british_airways is there a problem at lhr? ba0178 delayed 9 hours from jfk, indeed all jfk flights to lhr are also delayed '"""
News,"""'@british_airways announced 10% christmas discount for full- motion flight simulator experience gift vouchers booked...T_URL '"""
Rant,"""'@british_airways we are certainly converts! T_POS_EMO '"""
News,"""' airlines flight mh17 possibly downed by another plane: report - oct 27 @ 3:41 pm et T_URL '"""
Rave,"""'hope everyone is having fun! with best regards - cathay pacific &amp; isg. T_URL '"""
Others,"""'the famous singapore airlines suite class...no biggie | T_URL '"""
Rave,"""'flying business class with @cathaypacific? do not forget to grab a bottle of (or a jax_棄___ T_URL '"""
Query,"""'@singaporeair i need to book tickets for my mother. i will be paying. is this an issue for tickets? '"""
Others,"""'@british_airways letting your hair down after its been tied up all day '"""
Others,"""'rt @purefred: reading the british airways inflight magazine when suddenly... T_URL '"""
Others,"""'@qantas, @saudi_airlines, @emirates, @etihadairways, @united, @cathaypacific &amp; @americanair all fly the worlds 10 longest routes = 132,874km '"""
Others,"""'@skippyscage @avhistorian @british_airways @heathrowairport i probably saw you overhead planespotting from my s wales garden '"""
Query,"""'@british_airways are you getting back to me still in the world's biggest que '"""
Query,"""'@british_airways the irony is, they did not run out. anthony just could not be bother to go get some. he gave us some 20min later. '"""
Rant,"""'@british_airways i am unhappy with your services today. as a muslim, i find it insulting that i was offered a ham sandwich,with no alternate '"""
News,"""'rt @mashable children sue malaysia airlines 8 months after losing dad on missing mh370 plane T_URL '"""
Rant,"""'rt @commanderb: @british_airways another epic at t5! baggage system failure (again) flight leaving without any luggage :-s '"""
Urgent,"""'@eve_leveritt british airways. sure dm me x '"""
Others,"""'@clairerdxb @heathrowairport @british_airways thanks claire T_POS_EMO '"""
Query,"""'@british_airways her reference number is 12912602 and we did have to buy items. will not replace the 4 days our kids could not use the pool '"""
Query,"""'still no luggage following flight ba0179 on 25th 0ctober. ba website advises 'tracking continues'.. @british_airways '"""
News,"""' boys, 13 and 11, sue airlines over death of parents in flight 370 T_URL '"""
Others,"""'@troyesivan you know your album is on singapore airlines music? x '"""
Ads,"""'british airways: hr performance manager (london, ) T_URL '"""
Query,"""'@british_airways especially as they then told me to call heathrow airport to confirm. obviously that is the wrong number to call. '"""
Query,"""'@british_airways have you stopped champagne as passengers take their seat in wtp/premium economy? always had it before.... '"""
News,"""'hp:cbc2 malaysia airlines mh370: dutch ship joins search for missing plane T_URL '"""
Query,"""'@british_airways can i have some concession T_POS_EMO '"""
Ads,"""'visit our booth today (last day) at cathay pacific travel fair.. grab our special discount for tours_棄___ T_URL '"""
News,"""'rt @ai_connects_us: one company making use of big data to stand out from the crowd is british airways via T_URL '"""
Urgent,"""'mixed feelings @british_airways thanks for the upgrade but where are my bags! '"""
News,"""'dato' dr ong hong peng delivers a speech at the 'tourism malaysia &amp; british airways working together' pc T_URL '"""
Others,"""'rt @directaerojobs: selects consortium to build new airport T_URL '"""
Query,"""'@british_airways olci will only let me select 2 bags, boarding pass states 2 bags allowance, i upgraded with avios from wt+ to cw? '"""
Others,"""'@british_airways soo excited to be on the a380 from washington to heathrow tonight! '"""
Lead,"""'@mikejefferiesl4 @british_airways so long as it involves booze! '"""
Rave,"""'@british_airways never fails to stun us all with their amazing services and now the contest which gives you tickets to london! '"""
Rant,"""'@_tumblebee @british_airways i'm definitely considering using other airlines in the future!! '"""
News,"""'nice! @cathaypacific quietly reveals a updated brand look: T_URL via @skift. '"""
Rant,"""'@british_airways no response? why am i not surprised? '"""
News,"""'[actual footage] malaysia airlines plane mh17 with 295 people on board crashes in ukraine! '"""
News,"""'rt @ketv: boys sue malaysia airlines over loss of dad T_URL '"""
Others,"""'rt @deepikabhardwaj: celebrating the lovesliest bond ever. a happy father daughter at bro's wedding! @british_airways T_URL '"""
News,"""'british airways goes for the jugular: after last month's announcement that one world members may no longer acc... T_URL '"""
Rave,"""'@british_airways a get well card made by niece he has not been well for 3years showing love &amp; affection T_URL '"""
News,"""' malaysia airlines _棄__棄__neglects_棄__棄__ islam: _棄___ . two commercial flight disasters ... malaysi... T_URL '"""
Query,"""'@bradleycfox it is but board room members can access the cathay pacific lounge when traveling on alaska airlines. -shannon '"""
News,"""'malaysia airlines plane missing at sea off vietnam, presumed crashed - reuters '"""
News,"""'poland tonight with @chaseandstatus netskymusic and script mc.. @ british airways galleries lounge_棄___ T_URL '"""
News,"""'2 boys sue govt, malaysia airlines over flight 370 T_URL via @yahoonews '"""
Others,"""'@british_airways celebrated love at beach T_URL '"""
Rant,"""'idk @british_airways i really do not like being faced with hardened gum when i'm trying to sleep T_URL '"""
News,"""'sueford5 two boys sue government, malaysia airlines over mh370 disappearance: two malaysian boys reportedly su... T_URL '"""
Others,"""'singapore airlines edisi star alliance.. T_URL '"""
Feedback,"""'@mas your payment page should be fix. it tooks and ages! T_URL '"""
Query,"""'@british_airways will give a call when close to the departure date. thanks! '"""
News,"""'news from the missing malaysia airlines wreckage from malaysia airlines flight mh370 is most likely to wash up... T_URL '"""
Feedback,"""'@cathaypacific i wish there were for mid-november. T_NEG_EMO '"""
Ads,"""'""paris / new york"" by @rabbitshoot on vimeo T_URL that is one awesome ad from @british_airways '"""
Others,"""'like photo by @yyzaviation cathay pacific boeing 777-300er _棄___棄__棄__ T_URL '"""
Rant,"""'@british_airways very bad form indeed to say you can upgrade for 棄__599 then say it is 棄__5k+ when you go to pay. T_URL '"""
Others,"""'he ain't talking about malaysia airlines is he? '"""
Rant,"""'@british_airways thank you - look forward to being be reunited! '"""
Rant,"""'come on @british_airways, let @themichaelowen off the plane! '"""
News,"""'malaysia airlines faces first lawsuit over missing flight mh370 - jerusalem post ... T_URL T_URL '"""
Others,"""'g-xlef a380-841 c/n british airways (egll) 01/11/2014 @_airlinerworld @british_airways @a380fanclub T_URL '"""
Rant,"""'rt @akammer99: shocked by the appalling service from @british_airways as they still have not located my bags &amp; lack a sense of urgency to f_棄___ '"""
Others,"""'british airways - airbus a320-232 T_URL '"""
Others,"""'@singaporeair jeanette mary mullen flight from singapore 2 sydney sia221 arriving 7am this morning. thank u '"""
Ads,"""'_棄__棄__@designtaxi: fascinating time-lapse ad for @british_airways shows the similarities between paris and new york T_URL '"""
Ads,"""'brand and design manager - london heathrow airport, hounslow - british airways T_URL '"""
Rant,"""'hand luggage: too many with 2+ cases + bags = no space for those who abide by rules! 18:00 @british_airways T_URL '"""
Ads,"""'travel sets your soul free! get 10% off at @british_airways T_URL T_URL '"""
Rant,"""'@british_airways sorry is not enough. my partners bag was delivered - i've been back to cape town airport and still i have no bag. '"""
Urgent,"""'hey @british_airways, could you let @jennielouise know how you will be helping her get her luggage back please? thank you. '"""
Others,"""'from data to insight! with @ogilvyone @british_airways @hudsonsbay @lordandtaylor T_URL '"""
Rave,"""'hi @british_airways, thx for the nice tour of the north sea all on the 15.55 lhr to almost svg to lhr enjoyed today T_POS_EMO '"""
Rave,"""'@british_airways credit where it is due. great service. looking forward to flight now! thank you '"""
News,"""'news: british airways launches fresh assault on air passenger duty: one of britain_棄__棄__s fastest-growing taxes is ... T_URL '"""
Others,"""'rt @channel4dubai: want to wake up here in win now with @british_airways &amp; @mgmgrand sms ""vip to vegas"" good luck, eve x T_URL '"""
Rant,"""'@british_airways it is unlikely you will see me again. did not enjoy the experience. '"""
Rant,"""'rt @_andrea_3000: there are bloodied malaysia airlines flicht attendants with black box purses what ths fuck is wrong with this country '"""
Rave,"""'@cathaypacific i have been a cathay pacific loyalty customer for more than twenty years. this is the first time i use my points for redeem. '"""
Others,"""'view popular in twitter as to malaysia airlines on 10/29/2014 T_URL '"""
Feedback,"""'@british_airways @jess_on88 and actually having someone respond from the customer service helpline would be novel. '"""
Others,"""'@british_airways just reposted that on my @rebelmouse T_URL '"""
Rave,"""'@lycrajedi @qantas had that on @singaporeair and got a $150 inflight shop voucher. '"""
Query,"""'hm, should i put this under the pilot's seat? :doh: @british_airways T_URL '"""
Rant,"""'@british_airways - do you have a pr division? terrible coms re flight ba42 which should have flown on 30 oct - still waiting - poor show '"""
Lead,"""'@virgintrains second time in two weeks there have been delays on euston to piccadilly service. time to switch to @british_airways?? '"""
Rave,"""'@british_airways i've just landed at lgw, thanks '"""
Others,"""'@f1photographer @british_airways laptop and cards handluggage!......would sir like a drink '"""
Others,"""'@meetjoegatt @british_airways where are you headed? '"""
News,"""'cathay pacific_棄__棄__s brand refresh 2014 T_URL T_URL '"""
Others,"""'great read from @british_airways T_URL 'letter from lagos, nigeria' '"""
Rave,"""'hello trevor buckley great time last yesterday i fly british airways and aer lingus reg g-eupj 棄__棄__319-131 / ei-eps a319 nice small hug happy '"""
News,"""': ""would you like a glass of dom p廟黒_ｩrignon, sir?"" what it is like to fly the $23,000 singapore airlines suites class: T_URL '"""
Rave,"""'@timfalls @united // if @virginamerica does not get there, @americanair does, and does it well + @british_airways integration for int'l. _棄__棄__棄__ '"""
Others,"""'@british_airways your secret is safe with me. '"""
Others,"""' __棄__ british airways' parent lifts guidance: british airways parent, international consolidated airline... T_URL '"""
Others,"""'a @british_airways 787-8 dreamliner landing @nclairport earlier this year on a crew training flight T_URL '"""
Rave,"""'i'm done and i'm so stressed T_NEG_EMO january 16 and i'm out on that singapore airlines flight out of here '"""
Others,"""'@british_airways celebrating holi with causins..holi haiii T_POS_EMO T_URL '"""
Ads,"""'singapore international airlines sia feel the luxury first class promotion hkg,jkt,tyo,sha,bjs,syd valid for sales and travel until 31mar14 '"""
Rant,"""'@british_airways the answer is you cannot! you have to leave airside and queue up for hours to show your visa at regular checkin '"""
News,"""'malaysia airlines cutting 6000 jobs - cbs news '"""
News,"""'@cbcnews malaysia airlines mh370: dutch ship joins search for missing plane T_URL '"""
Rant,"""'@british_airways no customer services whatsoever. senior manager customer relations in london refuses to speak with me to discuss issues '"""
Others,"""'i liked a @youtube video T_URL gemini jets british airways world cargo boeing 747-8f 1/400 unbox '"""
Rave,"""'very nice to be in the @americanair lounge t3 london heathrow by arrangement with @cathaypacificuk @cathaypacific with @markhayter1 '"""
Query,"""'@british_airways unfortunately not i travel monday to thursday - yes please would love a call to discuss T_POS_EMO '"""
Others,"""'@british_airways waking up with perfect hair, no need to comb! T_POS_EMO '"""
Others,"""'@british_airways @dj_sav ha! out-witted mr savage! '"""
News,"""' sia-airbus jv gets competition commission's approval: singapore airlines' proposed joint venture with airbus services asia ... '"""
Query,"""'@british_airways info sent, looking forward hearing from you soon. thanks. '"""
Query,"""'@british_airways once more unable to print boarding pass online for flight to us. however colleagues with anglo saxon names can! coincidence '"""
Others,"""'@british_airways i celebrate my life by constantly looking for new places to travel T_URL '"""
Others,"""'rt @verenalasvigne: @grifcoltd @ila_spa @british_airways congratulations ila!! we are so honored to offer ila treatments in our @fsmar_棄___ '"""
Rant,"""'@hvsvn gives @british_airways a great excuse for not being able to find it though T_POS_EMO '"""
Others,"""'singapore airlines boeing 747-412 9v-spq airliners illustrated棄__棄__ by nick knapp棄__. 50% off... T_URL '"""
Feedback,"""'it is getting more crowded! cathay pacific travel fair with redhot_棄___ (w/ kotakasablanka at @kotakasablanka) [pic] _棄__棄__ T_URL '"""
Others,"""'cathay pacific partners with mandarin oriental for in-flight dining... T_URL | @gayatravel, @cathaypacific &amp; @mo_hotels '"""
News,"""'@mas launches online upgrade system T_URL '"""
Others,"""'@british_airways celebrating friendship in irctc cup T_URL '"""
Rant,"""'@british_airways - over 1 month ago since first contacting your ""customer relations"" department. first reply took almost 3 weeks.. 1/2 '"""
Others,"""'rt @easyspotting: lhr spotting (14.7.2014): early morning final 27l british airways b777-200 g-zzzb T_URL '"""
Query,"""'@cathaypacific hi roni, thanks for getting back to me. eventually managed to pay using another card so no screencaps... '"""
News,"""'spanish air force disrupts british airways flight landing in gibraltar: ba flight from london_棄___ T_URL T_URL '"""
Rant,"""'@british_airways now saying another 24hrs till they will have any news on my lost tennis chair could have to pull out of the event '"""
Rave,"""'right now = at my desk drinking coke. this time tomorrow = @british_airways lounge with @timwilliams87 and @shellyw1989 drinking everything '"""
Others,"""'rt @philptaylor: i liked a @youtube video T_URL british airways a380 transformed with breath-taking 4d projection '"""
News,"""'(cnn) - two children sued malaysia airlines and three government agencies friday over the loss of their father aboard missing flight 370. '"""
News,"""'( malaysia airlines sued by 2 boys over flight 370: 2 malaysian boys sue malaysia airlin... T_URL ( '"""
Others,"""'chep aerospace solutions to provide uld maintenance and repair services for singapore airlines cargo T_URL '"""
Rave,"""'lovely flight with @british_airways to @heathrowairport - look forward to busy 24hrs of exciting meetings for @scotfashawards '"""
Rave,"""'congrats team @british_airways on completion of 90 successful years, wishing you will many many more to follow T_POS_EMO '"""
Query,"""'@british_airways any chance of getting some info on how to claim my compensation from losing a day of my holiday? airport staff were useless '"""
Rant,"""'_棄__棄__@deshobhaa: british airways paid victoria beckham 1 cr. for losing baggage. indian passengers in the same boat get zero !! shame on ba._並_rt '"""
Query,"""'@british_airways q re: avios. last flight: 11/11/11. next flight: 11/11/14. will my current avios points expire or will that be ok? '"""
Others,"""'@british_airways taking me north again ! cannot wait to meet up with the 1andonly at @sofitellondont5 our favourite '"""
Rant,"""'terrible service @british_airways this am problem sorted after 2hrs of arguments where ba were by their own admission at fault '"""
Others,"""'@a380fanclub @wisdommr @singaporeair ..... cheers for that.. was not sure with both liveries.... _棄__棄___ _棄__棄__棄__ '"""
News,"""'rt @mh370news: malaysia airlines faces first lawsuit over missing flight T_URL '"""
Others,"""'@british_airways congrats for 90 years of flying in india.... keep rocking the blue skies '"""
Rant,"""'@british_airways stephen, it is past two am. i do not think anyone *needs* catering. a working aircraft would probably be more useful. '"""
Rave,"""'enjoying the @mas with @bonnierakhit @emmashbates @travelistajess @eatravelivemag '"""
Others,"""'and @mrskateg seem to of got a cheeky flight booked with @british_airways next year!! _棄___棄__棄__ _棄__棄__棄__ '"""
Feedback,"""'@americanair cont... tainment system, i hope my journey back with @british_airways on thursday will not be so bad '"""
Others,"""'rt- did another a-380 shake up singapore airlines airbus big bird?: people flying an airbus a-380 may fe... T_URL '"""
Query,"""'@british_airways what are the contact details for customer support team? - &amp; can they raise an official compliant? '"""
Others,"""'@singaporeair pretty please '"""
Ads,"""'celebrated this diwali in eco-friendly way with diyas T_POS_EMO @british_airways T_URL '"""
Rave,"""'@vivek_here7 sweet sentiment. ""angel""? you must be flying @singaporeair or @cathaypacific '"""
Others,"""'after a great week in new york of interviews and a show at @subculture_nyc with @cmj it is off back home to london with @british_airways T_POS_EMO '"""
Rant,"""'@mas do we check out as planned and leave this country without our bag? no one is helping us. why do not u call medan airport? no answer '"""
Query,"""'@cooksisterblog hi there, we would like to get in touch with you. could you please drop us an email at sq_social@singaporeair.com.sg? tks! '"""
Rave,"""'@british_airways love this '"""
Others,"""'next... frankfurt, germany ^^ (at @mas) _棄__棄__ T_URL '"""
News,"""'malaysia airlines wreckage significantly altered - abc news '"""
Rant,"""'@hutchcomms yes but apparently @british_airways cannot actually/be bothered to trace things. bangkok airways apparently in charge now... '"""
Others,"""'guys do share ur celebration pics and get more chances to celebrate with @british_airways '"""
Rave,"""'@british_airways thanks for the mention, ba! '"""
Lead,"""'in 12hrs i will be at @londoncityair waiting to fly to dublin with @british_airways '"""
Others,"""'7 nights at the 4+ star vista cay resort by millenium in orlando 棄__595 pp, flying with british airways!! T_URL '"""
Urgent,"""'@mas its now been a week since i have asked for help. your reservation phone lines are closed weekends too. can you please answer my tweet?! '"""
Rant,"""'do not book with @british_airways there customer service is horrendous '"""
Others,"""'cheers! (at @british_airways galleries lounge in schiphol, noord-holland) T_URL '"""
Others,"""'rt @sayramoran: baffled at how a piece of amelia earhart's plane was found but malaysia airlines 370 is still missing... '"""
Others,"""' cricket for change, 2nd chance project and british airways support for the courtney walsh foundation_棄___ T_URL '"""
Others,"""'@british_airways my celeb' stories is linked to my success that i had with racing T_POS_EMO T_URL '"""
Others,"""'british airways a380-800 en-route to lax from lhr T_URL '"""
Others,"""'@british_airways 9hrs 40mins of this, lax to lhr, 1/11/14 (lea) new plane! T_URL '"""
Rant,"""'which means i have as much chance of getting my luggage quickly as well, time travel. @heathrowairport @british_airways '"""
Rant,"""'a380 economy class: the world's least comfortable plane. their company name is airbus, and they live up to it. @singaporeair @united '"""
