News,"""""@ascorrespondent: has lost two planes this year,sends thoughts to relatives @mas"""""
Rant,"""@singaporeair it迓蘝迓蘝夦_淌s been 2.5 hours and i was on the call at 9.30. there迓蘝迓蘝夦_淌s no way i should be on hold that long. not good enough"""
Rant,"""@singaporeair my pleasure. hands down to your impeccable service on-board and the professionalism of your crew."""
Rant,"""@singaporeair racks up a $1171 wifi bill. be carful of your data limits people!! T_URL"""
Rant,"""@singaporeair refuses to honor mistake fares on nearly 900 business class seats T_URL"""
Rant,"""@singaporeair response maybe?"""
Rant,"""@singaporeair sold me a preferred seat and then cancelled it without informing me. i am skeptical of doing business with them."""
Rant,"""@singaporeair your web site is truly an abomination 迓蘝迓蘝迓台 now, it doesn迓蘝迓蘝夦_淌t even allow for profile changes to be made. this is ludicrous!"""
Rant,"""@tltripdoctor @singaporeair could not agree more traveling to asia in april and really hoping to fly with them if we can!"""
Rant,"""@travelmassive @singaporeair great idea... we will be touching base @keishibata!"""
Rant,"""/4 @singaporeair, i used to think very highly of your airline. i will be thinking twice before using your company ever again."""
Rant,"""2-week travel period for the @americanexpress offer to australia via @singaporeair but 6 weeks blacked out. talk about a cock move!"""
Rant,"""4 days til i fly to the other side of the world with @singaporeair"""
Rant,""" more weeks until sunny skies. 2 more more weeks... 2 more weeks... @singaporeair 迓蘝迓蘝夦_碳迓宕夦_太迓态迓蘝迓蘝夦_碳迓宕夦_太迓态迓蘝迓蘝夦_碳迓宕夦_太迓态迓蘝迓蘝夦_碳迓宕夦_太迓态迓蘝迓蘝夦_碳迓宕夦_太迓态"""
Rant,""" weeks @singaporeair, after losing my buggy twice in one trip, they call me at 9pm on my weekend and offer me $200 @emirates @qatarairways"""
Rant,"""/4 @singaporeair you slapped my wife with a $520 fee for a flimsy 10kg of baggage. it is bloody christmas! please fix this!"""
Rant,"""5 hours later i arrive .... in beautiful australia _迓太迓袒夦_壽迓太夦_夈㈠洛� thanks for looking after me @singaporeair @australia T_URL"""
Rant,""" airlines u must fly if u luv fine dining T_URL @donatellaarpaia @cheftoddenglish @qatarairways @singaporeair @emirates"""
Rant,"""/4 @singaporeair, $520 for baggage? it迓蘝迓蘝夦_淌s bloody christmas! that迓蘝迓蘝夦_淌s daylight robbery! next time i will fly @virgin. @richardbranson"""
Rant,"""/4 as if travelling at christmas isn迓蘝迓蘝夦_淌t already expensive enough and then @singaporeair slaps us with $520 baggage fee."""
Rant,"""8-hour special! bangkok: 2-way air ticket by singapore airlines 迓蘝迓蘝迓瘫 includes 30kg check-in luggage + 7kg hand-carry迓蘝迓蘝_ T_URL"""
Rant,"""60 euros for on board wifi! T_URL via @spiegelonline @singaporeair it was his fault but ur prices r ridiculously high"""
Rant,""" @singaporeair yet again i cannot choose my seat from sydney and yet again my preference for window seat is ignored... please tel me why?"""
Rant,"""1975issi get to airport at 3 do not leave till 5:30 - i think singapore airlines!!"""
Rant,"""4_s4m apparently @singaporeair doles out 20,000 miles as 'compensation' even if they claim they have done no wrong. suggest u demand yours"""
Rant,"""9vska @singaporeair amazing. these guys are so bad."""
Rant,"""9vska thanks. i have not kept up my star alliance miles this year so @singaporeair is fully justified. just sad as it is my airline"""
Rant,"""_ohnoes transfer and it迓蘝迓蘝夦_淌s singapore airlines). or a longer travel (by six more hours), 2 transfers, jal/qantas flights), cheaper ticket."""
Rant,"""_tx3 never tried @singaporeair , but @lufthansa is really impressive compared to all the rest. did i mention i loved the food?! :d"""
Rant,"""abhishek_tri they never claimed being a low cost airline. they are a proper premier airline like singapore airlines internationally"""
Rant,"""acaltitude @aircanada fake reward program. they give you upgrade credits but will not let you use them. miss @cathaypacific @singaporeair"""
Rant,"""adamflinter goodness! the price i paid when i flew @singaporeair on economy! @flysrilankan"""
Rant,"""aharpoon22 it is @singaporeair!"""
Rant,"""aidagreenbury @singaporeair please do not stress this things happen but i am sure singapore will make it up to you."""
Rant,"""aidagreenbury @webb_tobias @singaporeair i will beat you to jak at this rate!"""
Rant,"""aidagreenbury fancy girl needs some hors d'oeuvres also @singaporeair !"""
Rant,"""aidagreenbury i bet @singaporeair will offer you a cocktail or something! i've heard they are cool like that."""
Rant,"""airbus @singaporeair now if only nzch would upgrade to host this magnificent aircraft i'd be happy. they would fly over my place in a norwester"""
Rant,"""aircanada u need 2 figure out seat selection for ur customers when code sharing with @singaporeair . could not change seat. sent back&amp;forth"""
Rant,"""airlinequality @emirates @emiratessupport @delta @etihadairways @qatarairways @singaporeair is your cs still sleeping?"""
Rant,"""airportperth alarm going off not a great way to start our trip home! @singaporeair let us hope it does not spoil our departure"""
Rant,"""airvistara @rntata2000 @mukund_rajan @singaporeair runway not long enough for a320&amp;737ng ops. thought vistara will be different on safety"""
Rant,"""airvistara @rntata2000 @mukund_rajan @singaporeair viju does not conform to icao safety standards. no mandatory resa and 60m strip@bothends"""
Rant,"""airvistara ceo says experience to start airline was ""god send"" n will offer end - to-end customer experience. @tatacompanies @singaporeair"""
Rant,"""alanwilkins22 @starsportsindia @singaporeair gonna be a lot to talk abt in dat test even besides the on field action...hehe"""
Rant,"""alanwilkins22 what about that inning from @kumarsanga2 !? @starsportsindia @singaporeair"""
Rant,"""alexbish7 @singaporeair difficult to be seated together as a family! also impossible to arrange online! frustrating"""
Rant,"""alexbish7 @singaporeair it took over an hour in the end! automatic booking for a bassinet for an infant meant it was"""
Rant,"""allie_88 i could b a bit more inconvenienced, but could go on cathaypacific or singapore airlines, just the usa connection would b hassle!"""
Rant,"""amandavaughan82 @singaporeair the process can take up to 60 days, amanda ^b"""
Rant,"""amcj1 @mgkatz036 my comments limited to us carriers. no one beats @singaporeair @emirates, etc!"""
Rant,"""amro_z @singaporeair they ruined my holiday and after all the cash i paid for my flight, they offered me $200 compensation??"""
Rant,"""amtraknec @singaporeair @united is it possible to eliminate racial discrimination through art... click here... T_URL ..."""
Rant,"""anarchophysics @singaporeair do not fly over dodgy places."""
Rant,"""andipeters @singaporeair are you going in? or just being a guest"""
Rant,"""andipeters @singaporeair economy will have to do...! T_POS_EMO"""
Rant,"""andipeters @singaporeair i wonder if my fiance would be ok with me flying in business...? haha."""
Rant,"""andipeters @singaporeair no excuse then T_POS_EMO"""
Rant,"""andipeters @singaporeair well i hope they have wifi you owe me an email"""
Rant,"""andipeters @singaporeair you up front??? if so you are in for a lovely flight!!!!"""
Rant,"""andrewcnn @cnnbrk same vl happen,.still singapore airlines is in shallow water.."""
Rant,"""annemoff @junkeedotcom @singaporeair @willegitimate @allyportlock +dog. thanks so much!!! so nice to meet you all! can we pls do it again?"""
Rant,"""annemoff @junkeedotcom @singaporeair @willegitimate @allyportlock yep, the milky bars are on me"""
Rant,"""anvimal @singaporeair any word from them yet"""
Rant,"""ap_travel @ap it is just a massive plug for singapore airlines who probably gave this 'journalist' the free ride in exchange for the video"""
Rant,"""archimags @jetairways oh, it is always bad on flights. just sampled singapore airlines. throw uppy"""
Rant,"""arobertsjourno would require a long time horizon and deep pockets. perhaps singapore airlines or emirates if the price was right?"""
Rant,"""ashm_ya you should not fly qatar. should start lobbying singapore airlines instead."""
Rant,"""asparteam @singaporeair @sepangcircuit @motogp gosh who is the miserable person in team without any cloths?happy there is team uniform,no?"""
Rant,"""aublumberg @singaporeair &lt;i tried the 5mb capped package for $5.x - was online for about 30s."""
Rant,"""babaglocal and now there is broken glass in all the clothes too. so pissed off right now! @singaporeair"""
Rant,"""beazle1 @singaporeair that is not good poor you guys!!"""
Rant,"""benmling @singaporeair @flightcentre_uk geez that迓蘝迓蘝夦_淌s luck, was it a big change?"""
Rant,"""bestbitsworld @singaporeair i so want to do this one day!!"""
Rant,"""bigtobz @ladyj you flying singapore airlines? did not think you were classy enough for that."""
Rant,"""bmay @webb_tobias @singaporeair a kangaroo will beat it.."""
Rant,"""bmay @webb_tobias bad joke.. but i can always install one on the 13th floor for flaky people. when will they fly this @singaporeair?!!"""
Rant,"""bordeaux8 @singaporeair i've heard a lot of good things about that airline. sorry to hear it."""
Rant,"""breaksfrees it was lost in transiting i think, singapore airlines _迓太夦_夈㈠绿_"""
Rant,"""brentmfleeton @singaporeair they still cannot tell us.. we have to go shopping for ski gear now. &amp; this is with business class tix"""
Rant,"""brianblues @singaporeair no lounge access, only a plebb silver member"""
Rant,"""briancurtisnbc5 @americanair @tmaxon @dallasnews @nbcdfw this always happens on that route. @singaporeair dealt with the same thing."""
Rant,"""british_airways great job messing up my travel plans so far this morning. @singaporeair deserves the reputation as better for business!"""
Rant,"""british_airways i have flight from man-lhr on separate ticket to my onward lhr to @singaporeair journey, can my luggage b checked through?"""
Rant,"""british_airways i'm not flying today, have only just returned from oz to see the olds. @singaporeair"""
Rant,"""british_airways sorry i think you lost my business back to singapore airlines. by customer service agent who served our queue."""
Rant,"""bruitenberg about to check out the famed @singaporeair suites! that is a world i would not mind living in!"""
Rant,"""bryanboy @singaporeair economy has better food!!!"""
Rant,"""bryanboy singapore airlines economy is 50000x better than that _迓太夦_夈㈠绿�"""
Rant,"""byun_baek that or i pay extra for singapore airlines! and it迓蘝迓蘝夦_淌s only one transfer. but i don迓蘝迓蘝夦_淌t mind a layover in tokyo. i like narita."""
Rant,"""cbcnews @singaporeair not anywhere close to being reasonable...complete money grab迓蘝迓搪_迓宕夦_太迓态_迓太迓绦夦_澶."""
Rant,"""channelnewsasia @todayonline @singaporeair @jeremygutsche better get some sleep on board"""
Rant,"""channelnewsasia why didn迓蘝迓蘝夦_淌t he turn it off? t&amp;c are clear. i use it too and never got charged more than $20. @singaporeair"""
Rant,"""charliesurbiton just landed, awesome service by @singaporeair again T_POS_EMO"""
Rant,"""chelssince1970 was on singapore airlines believe it or not."""
Rant,"""chrisdelia @united basically singapore airlines are better then you"""
Rant,"""chrissbell i thought your national carrier would be @singaporeair now?"""
Rant,"""chrisstumph singapore airlines is the only way i would fly to asia. only bad experiences with other airlines. cathay was the worst!"""
Rant,"""chrstnelee pls give @singaporeair a hand. they think customer care means ""read our ts &amp; cs."" what can u expect from a ramp dog turned ceo?"""
Rant,"""chutze06 haha i still thought will so cheap for singapore airlines"""
Rant,"""cjmcginnis @singaporeair my, my! that sounds pretty good to me. but...cloud fungus? that must be a mushroom, right?"""
Rant,"""cjmcginnis @tripit @singaporeair that really sounds gourmet!!"""
Rant,"""cjmcginnis would you expect much less from singapore given they already have one of the world's leading airlines @singaporeair"""
Rant,"""cmm86 @singaporeair @alfredportale they look after you well in economy these days!"""
Rant,"""commoncormorant @jeremygutsche @singaporeair last time i flew with them, it was $10usd for 15mb."""
Rant,"""connielouise06 @singaporeair nearly killed us at 38000 ft in the air. all because we complained on twitter. they took our booking ref."""
Rant,"""connielouise06 @singaporeair served us removed shrimp and served the salad passing it off as veg. we are known allergic to all seafood."""
Rant,"""connielouise06 @singaporeair sucks. they spend money on ads claiming how good they are maybe they should spend on actually being good."""
Rant,"""connielouise06 and then @singaporeair targeted us on our return flight. guess we should accept their shitty service w/out complaining."""
Rant,"""connielouise06 the @singaporeair tel service was same 4 yrs ago, really poor audio quality &amp; then heavy accent, they do not care"""
Rant,"""cooksisterblog @singaporeair exactly the reason why i wanna experience it, i've walked past those aisles too many times ha"""
Rant,"""cooksisterblog @singaporeair let me know if you get it, it might get a trend going"""
Rant,"""copypastesmile actually easy one. just honour, give them the seat but serve economy food no champagne less smiles no surname @singaporeair"""
Rant,"""copypastesmile so u want gd press or money @singaporeair"""
Rant,"""cpuzilla perhaps because we landed an hour late and jfk is notorious for long immigration and customs clearance. @singaporeair"""
Rant,"""curiousdg @singaporeair me too!"""
Rant,"""curiousdg funny. my friend, @tmwrnj is having a very different @singaporeair right now. your tweets were on top of each other in fact."""
Rant,"""cvoter @suchetadalal this white elephant needs to be dumped or run like singapore airlines. has been used just serve the babus and crooks."""
Rant,"""czenina @singaporeair yes ,and dont know why i opted for jet this time lived to regret it"""
Rant,"""dahowlett @jeremygutsche @singaporeair &lt; i thought only at&amp;t could do that"""
Rant,"""davidjtwomey i'm loyal via @singaporeair to @virginaustralia...they better give me my points for this flight!"""
Rant,"""davidlat i hope the airline did not charge you what singapore airlines charged the other week, T_URL"""
Rant,"""dbainthecity @singaporeair crazy. sq has me stuck in the middle on my syd-sin flight next friday. loyality = 0 time for a change to"""
Rant,"""deadphishesq @meearf @frontiercare ha! the only airlines who really care about customer service r @jetblue @virginamerica &amp; @singaporeair."""
Rant,"""defeatedgoliath @singaporeair @emirates you should ask @virginamerica for that for them to assist you T_POS_EMO"""
Rant,"""deltaassist hey! can i claim miles on a flight booked through virgin australia but operated by singapore airlines? if yes, then how? T_POS_EMO"""
Rant,"""deltaassist how i should pay $2800, @singaporeair offers a flight for $450. i do not have the money at the moment."""
Rant,"""deltapoints better than singapore airlines or emirates or ... ??"""
Rant,"""dhel331 they are not taking singapore airlines, they r taking asiana airlines. we have to wait for a nearer then i think they will"""
Rant,"""diningtraveler @singaporeair so, so sad..."""
Rant,"""doctortran37 @singaporeair data must be expensive even for the carrier when it is 35000 feet up, but what can you actually do with 5mb?"""
Rant,"""donavonwood @singaporeair i thought these guys were supposed to be good?"""
Rant,"""donavonwood @singaporeair sounds ridiculous man. hope they come up with a more fair solution for you."""
Rant,"""dr_mel_thomson @singaporeair @virginaustralia a bonus would not go astray given inconvenience!"""
Rant,"""egyptair @singaporeair @staralliance 3 missing flights since june 2014 and till now egyptair can not added to my frequent flyer!!!!!!!!!!!!"""
Rant,"""egyptair @singaporeair @staralliance any person in charge can look my case? i cannot understand this kind of attitude!!!!!!!"""
Rant,"""egyptair @singaporeair @staralliance finally egyptair could add my 6 month missing flight, how long it will take to add my wife flight????"""
Rant,"""egyptair any solution to my 6 month issue?!! @singaporeair @staralliance"""
Rant,"""emirates @british_airways @singaporeair @airnzuk hello guys! how do i get my album onto my fave airlines in flight entertainment system?"""
Rant,"""emirates @emiratessupport disappointed @ cost 2 change return leg bris 2 ldn. @singaporeair never changed me 2 change, stick with them!"""
Rant,"""emirates @emiratessupport has the worst service @klm @staralliance @usairways @qatarairways @turkishairlines @singaporeair @etihadairways"""
Rant,"""emirates @runwaygirl @british_airways @singaporeair - and dubai airport was horrendous. sweaty coaches, overcrowded term. 1st exp"""
Rant,"""emirates @runwaygirl @british_airways @singaporeair ek all the gear &amp; no ideas springs to mind. hours to get meal &amp; no drinks. lower decks"""
Rant,"""emirates again girls very cold and not helpful at all and ladies on singapore airlines immaculately turned out and v helpful sorry"""
Rant,"""emirates disappointed @ cost 2 change bris 2 ldn flight. @singaporeair have never charged me 2 change."""
Rant,"""emirates or @singaporeair ? tough choice."""
Rant,"""engeetham @singaporeair what is/was good about them?"""
Rant,"""eothain1 singapore airlines but still.. another one small one went down down. that is two in two days mmmm"""
Rant,"""erinbury @jeremygutsche @singaporeair expensive overage, but only had a 30mb package. were overcharges known up front?"""
Rant,"""europcar is it you or @singaporeair that processes the mileage credit for the 3x krisflyer miles promo that ran for au rentals until nov 30"""
Rant,"""everywheretrip i'm flying @singaporeair in a few months... cannot wait!!"""
Rant,"""expedia hotel unless its @singaporeair's suite class flight! talk about deluxe!"""
Rant,"""expedia q9: which airline is your favorite for in-flight dining? a9 tough one - @singaporeair wins for their prog"""
Rant,"""explorelist that will be a codeshare flight then and so you will be flying with singapore airlines. ^h"""
Rant,"""f1nightrace hi where can i found merchandaise no found also in @singaporeair and in all thank you so much"""
Rant,"""factsinyourface why are so many people dying on singapore airlines?"""
Rant,"""fansofchangi thank you for locating my lost rsa id. can @singaporeair help me to get the same to manila. please. i will collect at airport"""
Rant,"""farangtalk how did @singaporeair treat you? @mas"""
Rant,"""febian_awondatu i do not fly them. all my family tried flying them and they were not impressed. i either use @mas or @singaporeair"""
Rant,"""flightcentreau @singaporeair if you know the gds system guarantees any airfare quoted in the travel booking system ticketed within 2 hours"""
Rant,"""flightcentreau @singaporeair load of bull you only advised them as you thought someone was beating your price guarantee travellers not dumb"""
Rant,"""flyairnz hi, if i want to fly to singapore or kl, do i book through airnz or @singaporeair ? thank you"""
Rant,"""flyairnz yup they said no access even tho ticket is airnz numbered singapore airlines T_NEG_EMO"""
Rant,"""flyingwithfish got syd-maa--del-syd with singapore airlines for aud$1,050 in peak travel season! i could not believe it! leave next week!T_POS_EMO"""
Rant,"""georgeous097 @singaporeair i do not have one but i'm sure @singaporeair will be good enough to send you a new one?"""
Rant,"""georgeous097 @singaporeair i know you are good people and will help. we are not even asking for a ticket. just a model plane"""
Rant,"""georgeous097 @singaporeair i was talking about my dad by the way, some text got lost"""
Rant,"""georgeous097 i doubt anything will come of this but i will try. we still have friends at singapore airlines, i will knock on their doors"""
Rant,"""getcalloud contact @singaporeair they need help with customer service desperately. i'm determined to let as many people know about this !!!"""
Rant,"""gillyoagain @singaporeair totally agree."""
Rant,"""goflyingaus @singaporeair @avalon2015 really want to, not sure if i can at this stage. are you?"""
Rant,"""greg_not_so @jeremygutsche @singaporeair apparently not."""
Rant,"""gunawan_h no more snow in myc for now @singaporeair"""
Rant,"""ha_nah take a singapore airlines flight out here and just load up on drinks; that is another option."""
Rant,"""hadawayben @john_yap @singaporeair wow! if this is not the biggest promo for i do not know what is!!"""
Rant,"""hadawayben @singaporeair guy now knows value of ""airplane mode"" on phone! lol"""
Rant,"""hasan_m_rahman next time you fly with @singaporeair try oialla and let us know how much you loved it!"""
Rant,"""heathrowairport do you know when i can check in my bags with singapore airlines in terminal 2 going to singapore at 8:30?"""
Rant,"""holl_21 the cheapest we have seen is 夦_泰迓澹700 is n that is wiv singapore airlines but also found ethihad to be the same sorta price! cnt wait _迓太迓绦夦_痰xx"""
Rant,"""honestlyfitness @singaporeair i went to raffles just to have a singapore sling! !"""
Rant,"""hongkongtourism airport is massive, never thought i get to the lounge @singaporeair lounge is great"""
Rant,"""hossanleong @singaporeair i was just there!"""
Rant,"""hotdogoflondon if you want the miles to go to your singapore account, you would need to contact singapore airlines for assistance. ^kp"""
Rant,"""hotseasun @lewisbostock @mkrsamdan drink served on @singaporeair"""
Rant,"""howellsbutt i cannot remember but it was not singapore airlines or scoot. it was either an american or an australian one??"""
Rant,"""ibnubasharudin @mas @singaporeair as if like i got the money to go for such airliner _迓太迓绦迓跳_迓太迓绦迓跳_迓太迓绦迓跳"""
Rant,"""iijeriichoii if you fly singapore airlines in their 18k room or whatever"""
Rant,"""iijeriichoii not even singapore airlines?"""
Rant,"""ikickeducks hehe, i guess you are flying scoot or airasia right? singapore airlines is good, but that is if you can afford it :s"""
Rant,"""indtravel @singaporeair again flight missing_迓太迓绦迓台_迓太迓绦迓瘫_迓太迓绦迓澧"""
Rant,"""isiscasalduc all i want is legroom and an aisle seat. status should afford that. no more. all cld learn from @virginamerica &amp; @singaporeair"""
Rant,"""itsisabrum oh no, actually i've got that wrong. i was going to fly again and go from bham thats why. singapore airlines is from heathrow."""
Rant,"""ixrich @jeremygutsche @singaporeair access $30. pay by the second, $10."""
Rant,"""j_wat17 @british_airways had the same thing with @singaporeair a few years ago!!"""
Rant,"""jazzcarlin @singaporeair look fwd to seeing u back too. q do airlines charge u xs baggage for trophies n medals :-d lol"""
Rant,"""jcobevans @junkeedotcom @singaporeair @willegitimate @allyportlock yes plz. so jake you are funding our flights this time right?"""
Rant,"""jeremygutsche @commoncormorant @singaporeair it is a rip off. considering that on some routes they offer it much cheaper."""
Rant,"""jeremygutsche @mpolzin @singaporeair @dailymailuk @nypost @telegraph omg, reminds me of 'cheap flights' T_URL"""
Rant,"""jeremygutsche @singaporeair @dailymailuk @nypost @telegraph and your also here T_URL"""
Rant,"""jeremygutsche @singaporeair @dailymailuk @nypost @telegraph why do you blame others for your own mistakes?"""
Rant,"""jeremygutsche @singaporeair @trendhunter sq please make sure this dimwit pays up. he is just trying to generate a story for publicity."""
Rant,"""jeremygutsche @singaporeair absolutely crazy. shame on you greedy singapore airlines."""
Rant,"""jeremygutsche @singaporeair but guess what, now the whole world knows when not 2surfe. ur a true hero, saving other ppl millions of $, lolz"""
Rant,"""jeremygutsche @singaporeair curious was it a mistake or they really charged you $1200 usd?"""
Rant,"""jeremygutsche @singaporeair er...nope. thousands of people use it without problems. just after publicity by any chance?"""
Rant,"""jeremygutsche @singaporeair even the 30mb ""deal"" is ridiculous... it is 2014, all airlines should have free wifi already."""
Rant,"""jeremygutsche @singaporeair hope you were flying at least business class"""
Rant,"""jeremygutsche @singaporeair i'm also charged $1267 for miles that i did not use nor want. @singapore air services are exorbitant"""
Rant,"""jeremygutsche @singaporeair oh my. that is a lot of emails..."""
Rant,"""jeremygutsche @singaporeair onair is the wifi service provider and their customer service has been sufficiently responsive in my case."""
Rant,"""jeremygutsche @singaporeair pricing structure that was implemented by business ppl who doesnt understand how mobile technology works today"""
Rant,"""jeremygutsche @singaporeair sometimes reading comprehension helps. they clearly state overage charges in advance. T_URL"""
Rant,"""jeremygutsche @singaporeair that is why T_URL"""
Rant,"""jeremygutsche @singaporeair they said thank you so i do not see a problem."""
Rant,"""jeremygutsche @singaporeair this kind of thing is my nightmare when i use in-flight wi-fi. what a shock!"""
Rant,"""jeremygutsche @singaporeair wow, thanks for sharing ..... this is valuable information."""
Rant,"""jeremygutsche @singaporeair xd what you do then.."""
Rant,"""jeremygutsche @singaporeair you must have been watching hardcore porn during the flight. so no wonder"""
Rant,"""jeremygutsche @singaporeair you write it off anyways, so what is the matter?"""
Rant,"""jeremygutsche @smartbrain @singaporeair the fact that only 30 mb was over $20 was not a good sign."""
Rant,"""jeremygutsche hi, this is japanese fuji television. i迓蘝迓蘝夦_淌d like to have your permission to introduce your experience with singapore airlines"""
Rant,"""jeremygutsche regrettably your beef is probably with the service provider onair rather than @singaporeair , but $1200 does sting."""
Rant,"""jeremygutsche you reap what you sow. turns out your plan to pressure @singaporeair did not work. T_URL"""
Rant,"""jesseverstraete @singaporeair @lufthansa off course sq is great but very much over priced &amp; no longer singapore girl famous service i miss"""
Rant,"""jetairways also let me tell u, we have flown @singaporeair and nor faced this, first time we flew @jetairways and this is what we get"""
Rant,"""jjlovestennis singapore airlines is still fantasic in economy!"""
Rant,"""joanna_jane @singaporeair switch to @british_airways - they reward loyalty. upgraded me more times in 3yrs than sia did in 10+."""
Rant,"""joannakrupa is it lufthansa ? or virgin ? i am going to thailand next month but singapore airlines may not have wifi"""
Rant,"""jodie_hyatt @emirates @emiratessupport they have the worst service @etihadairways @british_airways @singaporeair"""
Rant,"""joeydiggsjr singapore airlines is the only one you can trust. _迓太夦_淌_"""
Rant,"""johnrtworld singapore airlines. just landed, making connection now."""
Rant,"""jonhampshire90 @singaporeair cannot wait to get there."""
Rant,"""jonk @runwaygirl @singaporeair plus their friendliness during boarding, helping pax w luggage, smiling. second to none. i value that."""
Rant,"""jopiazza @turkishairlines even @singaporeair acts wierd when there is a misconnect. why so cranky?"""
Rant,"""jordanjansen @singaporeair did you check my dm?"""
Rant,"""joshamberger @singaporeair struggling pro? doubt it! travelling better than proag"""
Rant,"""joshyboi88 @singaporeair now you are taking it to a different level!"""
Rant,"""joshyboi88 @singaporeair you will be fine迓蘝迓蘝_i hope ;o)"""
Rant,"""karimghandour @emiratessupport this airline is a joke @etihadairways @qatarairways @singaporeair @turkishairlines"""
Rant,"""kasiadietz i'm sorry too. wish you could have been here, kasia! @singaporeair @nyctm"""
Rant,"""katie_hogg @singaporeair have fun lady!!! how long do you go for? xx"""
Rant,"""kaypealol @singaporeair i mean they have such a good service, wet towel, menue card, usb charger ... all in economy"""
Rant,"""keishawee but that is only for singapore airlines right ? honestly thought it was gg to be like at least 170+ T_NEG_EMO anyways have fun ! _迓太迓跳迓踏"""
Rant,"""kellytaybt @singaporeair intentionally removed shrimp from their shrimp salad to pass it off as prebooked veg meal. insulted our religion!"""
Rant,"""kellytaybt @singaporeair not surprising considering their shitty service !!"""
Rant,"""kezzeroz @harrypusspuss @qantas @emirates @flyairnz @singaporeair @cathaypacific would someone in govt tell the truth ffs!"""
