News,"""""@ascorrespondent: has lost two planes this year,sends thoughts to relatives @mas"""""
Rant,"""please go to the another counter."" if you have this in your customer service training you need to scrape this statement @mas"""
Rant,"""regardless what we have done and learned...the next of kin of went through something i can never imagine."" dean dacko @mas"""
Rant,"""the amount of attention was amazingly intense."" @mas received 58m mentions in first 4 weeks of"""
Rant,"""the carrier's problem is not bad tweets; it is that it lost two airliners."" do you agree that there is been an overreaction to @mas' tweets?"""
Rant,"""the only transport-related experience he has was being a malaysia airlines steward who later studied to be a lawyer."" guess who?"""
Rant,"""this year malaysia airlines lost more passengers then luggage"""""
Rant,"""we call this shit malaysia airlines because once you take it youre fucking gone dude"""""
Rant,"""we had to maintain 5-star services and flight experience for 47,000 passengers we continue to fly everyday"" @mas dean dacko"""
Rant,"""you are not supposed to use your phone on the plane"" . lol. sorry sir. will put my phone on airplane mode now. @mas"""
Rant,"""$$$$$$$ rt @nickkyrgios: guys, i'm really pleased and honoured to announce my partnership with @mas as my airline of choice."""
Rant,"""want to go somewhere, but do not know where?' - malaysia airlines sorry T_URL"""
Rant,"""watching titanic* i wonder if people are gonna make a movie like this about the malaysia airlines -shannon _迓太迓绦夦_澶_迓太迓绦夦_澶_迓太迓绦夦_澶_迓太迓绦夦_澶_迓太迓绦夦_澶"""
Rant,""" @dhlitnowuk just as there is no info about my lost birth certificate so there is none about malaysia airlines flight. damn good at excuses"""
Rant,""" @flightcentreau asks for passport and then doesn迓蘝迓蘝夦_淌t check any details before ordering ticket. in their &amp; @mas interest to make mistakes."""
Rant,""" @mas a330 business class seat, ife screen, and complimentary drink before take off and seat control. T_URL"""
Rant,""" @mas would like to say have had 2 fabulous flights with you recently credit and better than qatar"""
Rant,""" i hope @dhlitnowuk was not ""helping"" malaysia airlines flight 370 investigation is definitely not your best side"""
Rant,""" so my flight had to do an emergency landing. i was asleep the whole time and woke up when we landed. thanks @mas malaysia airlines!"""
Rant,"""@a_belso @rubinreport my only justification for @cnn's coverage of malaysia airlines = ""titanic"" effect. hope this does not turn into that."""
Rant,"""@airasia ceo @tonyfernandes is doing a remarkable job in managing the crisis. especially compared to @mas in the case."""
Rant,"""@ausaviation i see @mas' wings in the line. does this means one of those in the river was meant for them?"""
Rant,"""@bbcbreaking 2/2 sadly few were disgusted that potus was playing golf w/ malaysia airlines main shareholder."""
Rant,"""@british_airways why is it impossible to ever get even flying j with @mas - i'm massively going off both airlines due to this?!"""
Rant,"""@dhlitnowuk just as there is no info about malaysia airlines 370,there is none about my lost birth certificate. damn good at excuses"""
Rant,"""@ginsburgjobs yet we still cannot find the malaysia airlines flight."""
Rant,"""@infomumbai so that brings us to the question..where did @mas go?"""
Rant,"""@khalidkarim dude, what the fuck do you know about what @mas did or did not do during mh370? stick to your partisan and faux economics."""
Rant,"""@mas @airasia woops!!"""
Rant,"""@mas @airasia _迓太夦_夈㈠绿╛迓太夦_夈㈠绿╛迓太夦_夈㈠绿╛迓太夦_夈㈠绿╛迓太夦_夈㈠绿╛迓太夦_夈㈠绿╛迓太夦_夈㈠绿╛迓太夦_夈㈠绿� from the golden gate of"""
Rant,"""@mas complaint sent to uk customer relations over a month ago and still no reply, despite a chase email a week ago."""
Rant,"""@mas consoling @airasia they know how terrible is this... T_URL"""
Rant,"""@mas do you have any flights leaving illinois for miami in mid december?"""
Rant,"""@mas has a bad rep now but they are super friendly and caring, good food, also well recommended. lounge vouchers yay!"""
Rant,"""@mas hashtags and started as an internal message. it became a rally cry... it resinated around the world"""
Rant,"""@mas horrific experience travelling with malaysian airlines. just how unbothered and unaffected can an airline be?"""
Rant,"""@mas know you are in a bit of budget crunch but adding us $100 worth of insurance to my tix w/no pop-up or notification is a bit much."""
Rant,"""@mas never upgrade they lose the rest of your bookings"""
Rant,"""@mas of course but know these problems: 1) no ""no.1"" expedite access. 2) lousy lounges 3) no airport transfer. how are you a 5* airline?"""
Rant,"""@mas once again after sticking by mas they have let me down yet again has to be the last time. thought i was flying with a decent airline"""
Rant,"""@mas once again malaysia airlines have completely cocked up on our booking. what a hopeless bunch!!!!!!!"""
Rant,"""@mas plane food was better than expected. not particularly photogenic, though. about to board final flight,"""
Rant,"""@mas set out to engage with 80% of our audience within 20 mins and is now 2nd in the world in social responsiveness."""
Rant,"""@mas shielded families from press at hotel, offered counseling, $$ assist. they remembered ppl come first + that the media abhors a vacuum."""
Rant,"""@mas where is the plane"""
Rant,"""@sarahkimmorley flew @mas business class @businsiderau and was impressed. she will be back - but not up the back T_URL"""
Rant,"""end of the year and @mas still dont know where the plane is do not fly mas where is mh370?"""
Rant,"""end of the year and @mas still dont know where the plane is do not fly mas where is mh370?"""
Rant,""" hour to our etd still no staff manning the check in/bagage drop counter in twu. @mas @wingmates"""
Rant,""" month today and i'm off on my honeymoon! can not wait! @mas"""
Rant,"""00 days ago we lost the heroes of it is hard to forget, never will it be easy. @mas T_URL"""
Rant,"""8 days left to fly. i've missed you, malaysia airlines 迓蘝夦_淌夦_塘"""
Rant,"""st it was @mas now this!""@xolanicollin: boycott @airasia, cannot be losing planes like that!"""""
Rant,"""014 absolutely was not malaysia airlines year that is a fact god damn"""
Rant,"""014 first, malaysia airlines and now airasia. seems like malaysia has been cursed... this is insane :'("""
Rant,"""014 maybe the saddest and pathetic yrs for aviation world but i will always make airplanes as bestfriends @mas @airasia"""
Rant,"""014 was the year of getting ripped off. looking at you @mastercardau @flightcentreau @mas oh, and unnamed mechanic in healesville."""
Rant,"""014, malaysia airlines lost more people than luggage, there is that...."""
Rant,"""5 minutes before @mas departure and the gate (that was changed - g10-&gt;h4) is still not open @my_airports T_URL"""
Rant,""" just in this year, oh god迓蘝迓蘝迓瀚what is going on. @airasia @mas"""
Rant,""" weeks to go before the honeymoon. can not wait! @mas"""
Rant,"""/8 of @mas fights are credited to my @aviosuk account, rest is now requested from @british_airways this is not convenient @traveloneworld"""
Rant,""" more days till take off!!! @mas"""
Rant,""" more frickin' days! _迓太迓绦_迓蘝迓搪_迓宕夦_太迓态 @mas T_URL"""
Rant,"""by @5byrocks :this view will cost you 95 million dollars. will you be paying cheque or cash? via @mas... T_URL"""
Rant,"""30 euros flight to philippines... malaysia airlines... i think the universe is trying to tell me something..."""
Rant,"""4 buzzfeed articles about people dressing up as oscar pistorious/ebola/malaysia airlines and why they might just make you unlike them on fb"""
Rant,"""m-mro in her better days. who knows where she is! T_URL @mas T_URL"""
Rant,"""malaysia airlines incurred losses because malaysians are stupid and do not know how to manage aviation, former... T_URL"""
Rant,"""1dmalaysiacrew i even tracked his flight _迓太迓绦迓搪 the only flight to london at that time was mh2 malaysia airlines around noon _迓太迓绦夦_碳"""
Rant,"""1drngju @h4rdc4ndy47 wait? hamas, malaysia airlines? you are now connecting dots that do not exist lol!"""
Rant,"""20committee they are a budget airline &amp; they have done better than many but there is the malaysia airlines link...."""
Rant,"""3alani @johan_jaaffar @xrockybrux it was a reminder at the right time for me too. how @mas felt then? remember the outcry?"""
Rant,"""4bitnews crash for cash... when they do it with cars. how much is a plane insured for and how close to bankrupt are malaysia airlines."""
Rant,"""83b655131f244df @akbar_ali @tonyfernandes @azwanbro @mas @hanifhanif8 @saladinmy @khairykj full marks for never stop trying tho_迓太迓绦夦_痰"""
Rant,"""83b655131f244df @akbar_ali @tonyfernandes @azwanbro @mas @hanifhanif8 @saladinmy @khairykj that bad huh bro?_迓太迓绦夦_痰"""
Rant,"""9newsaus @mas glad it ended the way it did. thought the worst for a bit."""
Rant,"""9newsaus @mas i was reading that with my heart in my throat. thank god it is good news"""
Rant,"""9newsaus @mas lol, money money money....the case is not even solved."""
Rant,"""9newsaus @mas sad to hear now the baby did not make it!"""
Rant,"""9newsaus @mas thank fuck"""
Rant,"""9newsaus this ship is like the malaysia airlines that destroyed the plane and it was not in the water. lucky plane. while uhh it had T_NEG_EMO"""
Rant,"""__akmalhakim airasia does not have any affiliation with malaysia airlines, so maybe somebody does not like the country"""
Rant,"""_anujsharma @namelessdigipro my friend was planning his honeymoon in january '15 but i 'll ask him no @mas"""
Rant,"""_ikyric thank you !! i'm praying malaysia airlines doesnt cause any problem tomo _迓太迓绦夦_澶_迓太迓绦迓糖"""
Rant,"""_kim_jongun i heard you were replacing malaysia airlines pilots with sleeper agents. *correction: i meant to say sleeping agents."""
Rant,"""_mei_belle hi, hope you were not delayed by much. it is best to contact @mas regarding delays as they can give you up-to-date flight info."""
Rant,"""_rolandh3 @mas right! you have to be really desperate to travel somewhere to fly through that airline."""
Rant,"""abhinationalist @mitchebbertt @atposmosis that is my question and it is connected with malaysia airlines."""
Rant,"""adam_sandor last year when the malaysia airlines flight disappeared i got calls to talk about passport fraud and theft. 1) why should i?"""
Rant,"""adamflinter @airasia @mas worth noting that lessons have been learnt."""
Rant,"""adamflinter i would not compare. what @mas went through with was unprecedented and there were hard lessons for all."""
Rant,"""adeliavalentaaa lmao i was scared to on board for plane nowadays. i thought only malaysia airlines will only like this... but now.... omg"""
Rant,"""adibcaroline ouh mine is at 0900hrs and i'm taking @mas... if ttbe you will be taking flight jugak nanti_迓太迓跳迓踏"""
Rant,"""aenncullen @yoobyungchan rm460??? omg more expensive than air asia lol rm350+ 2 ways (malaysia airlines!!)"""
Rant,"""aerlingus im flying dub-cdg-kul-mnl my cdg-kul-mnl is via @mas i was told by my agent to inquire with you since you will be the one tagging"""
Rant,"""airasia @askairasia @airasiablog my problem has been resolved. thank you. @mas why is still no answer?"""
Rant,"""airasia @mas @tonyfernandes plz suggest 4 next aviation conference to add condition to auto activate distress call ~"""
Rant,"""airasia @mas brah, yall losing airplanes like socks."""
Rant,"""airasia @mas im not blaming you even if others will bt please stop everyone from travelling atm. figure out the problem"""
Rant,"""airasia @mas last thing i want to see over the holidays, i pray for"""
Rant,"""airasia @mas mad sus"""
Rant,"""airasia @mas missing plans with no trace? might be abducted by for a new planet!"""
Rant,"""airasia @mas please reduce your tix price to show support to flood victims' family member who wants to go back to help their family there."""
Rant,"""airasia @mas sorry to say this,but i really want ""god"" stay out of guiding ur aviation industry""god blessed us 2day"" T_URL"""
Rant,"""airasia @mas two777's and an a320 in the same year"""
Rant,"""airasia and @mas, and"""
Rant,"""airasia appalling service, only help we received regarding missing items was from @mas at penang airport!"""
Rant,"""airasia ceo is handling this disaster with such leadership and professionalism. @mas start taking some notes."""
Rant,"""airasia flight reminds me of how @mas flights and crashed earlier this year."""
Rant,"""airasia hats off to tony fernandes. he is learned from malaysia airlines disasters and doing all he can to inform people as fast as he can."""
Rant,"""airasia malaysiaairlines @mas pray for all passanger on board"""
Rant,"""airasia okay dont make the same mistake as @mas avoid flying over war zones so that we do not loose more innocent lives.."""
Rant,"""airasia plzzz come back @airasia @mas @americanair @anggichangir"""
Rant,"""airasia still bragging that your planes are safer than @mas T_URL"""
Rant,"""airasia the people need answers first...malaysia airlines and now...this whats happening?"""
Rant,"""airasia you and malaysia airlines are so negligent. you murder our friends and family! this should not happen in 2014 almost2 015"""
Rant,"""airasia your airline is on akamai, so was malaysia airlines. akamai has been compromised. please be careful."""
Rant,"""airindiain do not appreciate my flight to singapore being cancelled without any notice and being forced to fly @mas via kl! ridiculous!"""
Rant,"""airlineflyer @airasia why is it odd? they are being more proactive &amp; forthcoming with info compared to the malaysia airlines disappearance"""
Rant,"""airlinegossip good article, although ""malaysia airlines' bad timing"" is [is there a better word than ""stupid""] headline for 2 lost planes?"""""
Rant,"""airportpakistan @omar_quraishi @syedbilalmushee please keep the difference in between @mas and @shaheenairline"""
Rant,"""ajfromthegong @united @sydneyairport @mas love you to bits aj. but this sentence just makes no sense to me :s"""
Rant,"""akbar_ali &amp;v paid heavy price for that. y recycle failed ideas @azwanbro ?@tonyfernandes @mas @hanifhanif8 @eddydaud @drshikin @khairykj"""
Rant,"""akbar_ali @83b655131f244df @eddydaud @tonyfernandes @azwanbro @mas @saladinmy @khairykj to me,it is a nego process,story in public i dun no"""
Rant,"""akbar_ali @83b655131f244df @eddydaud his @tonyfernandes concerned is biz costs!!prior to land @klia2 @azwanbro @mas @saladinmy @khairykj"""
Rant,"""akbar_ali @eddydaud @tonyfernandes @azwanbro @mas @hanifhanif8 @saladinmy @khairykj gain this stupid bugger tries to hand mas over to aa."""
Rant,"""akbar_ali @eddydaud @tonyfernandes @azwanbro @mas @hanifhanif8 @saladinmy @khairykj they want mas to be mv agusta no.2 ka?.."""
Rant,"""akbar_ali @tonyfernandes @azwanbro @mas @hanifhanif8 @saladinmy @eddydaud @drshikin @khairykj i think it is a great idea for tony to helm it"""
Rant,"""akbar_ali @tonyfernandes was khazanah's choice once upon a time. @azwanbro @mas @hanifhanif8 @eddydaud @drshikin @khairykj"""
Rant,"""alanvonlanthen glad i'm not muslim, they are a bit strange! not like us catholics!! i know ur smiling alan!! T_POS_EMO fx @mas"""
Rant,"""alexpenguin94 T_POS_EMO hopefully she could make an acception and fly herself instead of malaysia airlines. nothing against them besides this shit"""
Rant,"""alfianodaffa hi! for your information, airasia indonesia is not run under malaysia airlines, they are a private low cost airline company."""
Rant,"""alfianodaffa that means it now is not under malaysia airlines, all airplanes are now under airasia bhd and it has no involvements with mas."""
Rant,"""aljazeera ""air asia has never lost a plane before"" like other companies have lost planes before besides malaysia airlines."""
Rant,"""allthatchas you are better than an insult like that. malaysia airlines? really."""
Rant,"""almehairiauh @mas omg really?!"""
Rant,"""americanair $600 for a direct, 8 hour trip. coming on 12 and i could have probably could have flown malaysia airlines w/ better service."""
Rant,"""americanair @qatarairways @mas not to mention all the gifts that i cannot give to people now thanks to you guys. some christmas this is."""
Rant,"""americanair and when i arrived my bag was not on the @mas flight i was on, or the @qatarairways flight i was supposed to catch. now no one"""
Rant,"""americanair because your plane was delayed, i missed my @qatarairways flight to doha &amp; kl. and you guys transferred me to a @mas plane..."""
Rant,"""americanair can tell me where my bags are. even though i still have my original american airlines 6 digit receipt and an @mas reference #"""
Rant,"""americanair i do not know if that means @mas whom flew with, or @qatarairways, who i was supposed to fly with until your plane was delayed."""
Rant,"""americanair i just wish you would be star alliance instead of oneworld. malaysia airlines? seriously? british airways is the only good one"""
Rant,"""americanair sorry it is a malaysia airlines frequent flyer card!"""
Rant,"""americanair you guys screw up more flights than malaysia airlines."""
Rant,"""amerimatryoshka yes, please god no repeat of the malaysia airlines scenes."""
Rant,"""andrewruane10 @mas @americanair okay maybe if you want to lose the plane and not your luggage"""
Rant,"""andymeanie cheers. i just woke up and i'm seeing missing malaysia airlines missing again. i had to double check they were not old tweets."""
Rant,"""angelinecheng we are only too glad to be able to serve you. thank you for choosing malaysia airlines. we cannot wait to have you with us!"""
Rant,"""angelroxxmysoxx malaysia airlines is pretty empty. you should fly with them"""
Rant,"""annecobben we will try to assist you at customer.service@travelgenio.com as soon as possible. thanks. @mas"""
Rant,"""annolawson oh my! i've seen malaysia airlines one...but not the other two! really, bucket list?"""
Rant,"""anthonyraneri @airberlin atleast you did not take @mas . you might be the one lost and not your guitars."""
Rant,"""anurag_doshi @mas @timesofindia ne reply from the staff y is it cancelled?"""
Rant,"""aprilritchey d,g, was involved some how,they had to lose flight records in the next best flood.@mas also deeply inv.they had to have a fire"""
Rant,"""aptronym @sarahkimmorley @mas @businsiderau they were muslim too you know..."""
Rant,"""arlene_bartlett it is not their 3rd disaster this year. other 2 @mas. pls get facts right before tweeting"""
Rant,"""armawasteland thank you will this mess with a3 overpoch/epoch files and will i need the weapons pack if i have @mas already"""
Rant,"""articell @mas i know mate. enough changed times, but refusing refund for alternative flight is"""
Rant,"""asakahamuza @bbcbreaking are u serious ? yeahhh i think so too . same goes to malaysia airlines . strange things keep messed me up"""
Rant,"""ashishnfl no you are getting confused between two different airlines @airasia and @mas are both based in malaysia but not the same company."""
Rant,"""ashren @fxnighttrader dont you look stupid told you it is malaysia airlines"""
Rant,"""asiamiles luckily i read that right after my msg to @mas and kept them just in case. thank you so much for the info.. much appreciated"""
Rant,"""askmybollix @leazeslad @paddybarclay @nufc @mas im on sick leave with worry"""
Rant,"""astralmir i think this one was a bad weather crash,different from the both malaysia airlines ones. they will find the wreckage soon."""
Rant,"""atiliazaini @naimhumphrey i thought you are busy doing your malaysia airlines thingy? are not you?"""
Rant,"""aussie500 @mikechillit t have acars , @mas was not subscribing to it ..then about 7 weeks later "" it is free for everybody"" now comes even"""
Rant,"""aviation_newsuk is malaysia airlines doing something wrong? or just coincidence? or sending planes out in bad weather? any comparable fact"""
Rant,"""aviatorjk @bluebarba @flgovcand_gig @mas excellent questions jyothish kumar p g. if we had the answers, we would already know where is."""
Rant,"""aviatorjk @georgehatcher @mas this is an extremely puzzling question and tends to indicate we have been looking in the wrong spot."""
Rant,"""baek2light @yixingballs ikrrrrr @mas makes this happen please T_URL"""
Rant,"""bakerkirk50 @mas how the hell do you lose an airplane?"""
Rant,"""baliairport is worst i ever have experienced. first the bag is broken. no help what so ever. @mas why pay 200.000 rupies for nothing?"""
Rant,"""bangkok_airways @mas between the two of you failed to deliver my luggage to koh samui this morning. not a good start to my holiday."""
Rant,"""barbjonn what did ever happen to accusations of alleged assault by flight attendant on @mas i'd say she was talking crap!"""
Rant,"""barca718 better than @mas lmfao"""
Rant,"""barenakedislam since you feel sorry for the muslims, i booked you a flight on malaysia airlines! T_URL"""
Rant,"""baron_philip @mas lol..was that in business or first"""
Rant,"""baronvonping i hope it is a @mas flight!"""
Rant,"""bastilledaan @bastilledan plus, malaysia airlines is far from being safe lately!"""
Rant,"""bazaboom @mas maybe they will upgrade you to 1st class, probably better air conditioning up front"""
Rant,"""bb164 @heidishearman1 @ddz6006 @frankiescar i have to say again that malaysia airlines provide an absolutely superb business class service"""
Rant,"""bbcnewsasia @bbcworld @airasia thats so kind of @mas the whole world is praying for all of those on board and their families."""
Rant,"""bbcworld we are sure that probe had landed on 67p but will never know for sure where flight landed. outrageous @mas"""
Rant,"""bbcworld what have we learned since the last lost plane in that region, malaysia airlines flight 370? have planes stronger locators? what?"""
Rant,"""bdutt @mas -surprised..not blaming namo for this..how many muslims were in the aircraft ? flash one episode on this,"""
Rant,"""bdutt @mas and yet there is so much of hatred/venom in this world. where is humanity lost? what sort of world are we leaving for our kids?"""
Rant,"""bdutt @mas flights of fantasy. now you have an inflight story for your next episode. you must be contemplating a change of airlines, sia?"""
Rant,"""bdutt @mas god has given one more chance to change yourself.make most of it."""
Rant,"""bdutt @mas god's way of showing us who is in charge."""
Rant,"""bdutt @mas horrific experience 2 be locked in a plane absolutely helpless. turbulence can be very unnerving. pray for a miracle!"""
Rant,"""bdutt @mas i thought you were a passenger!"""
Rant,"""bdutt @mas just wondering why all malaysian based airlines go missing needs to be investigated seriously"""
Rant,"""bdutt @mas kindly take up this issues of data tracking recorders with airasia and others.we would have known the location within hrs.."""
Rant,"""bdutt @mas nature allowed us to take form inspite of the fragility of human existence because "" to be is better than to not be at all."""""
Rant,"""bdutt @mas so i am asking what was the need for human beings to exist in the first place if huma"""
Rant,"""bea4palestine @hdaily09 @anwaribrahim @n_izzah @mas @abdmalekhussin @ikea is in israel propping up d occupation&amp;benefiting the settlers"""
Rant,"""bernamadotcom let the consumer be the judge of that @mas"""
Rant,"""bernamaradio24 those who have eyes will see! warning @mas received in the past about a single customer terror and the impending"""
Rant,"""bestscheller kicked yourself then tried to get a flight to chicago with malaysia airlines...idk what to think tayla"""
Rant,"""bgordon916 @abc well you are obviously retarded since this was not a malaysia airlines flight"""
Rant,"""bl141190 that malaysia airlines plane is not even founded yet.... and then comes this..."""
Rant,"""blessedekefre @mas @airasia i was just fucking with u ode..."""
Rant,"""bluebarba @georgehatcher @mas mas future , they are done"""
Rant,"""bmchorne1 @airasia @mas yes it was spooky to realize that. god bless all of those people missing &amp; their families!"""
Rant,"""bmchorne1 yes! so strange &amp; i have been on @airasia &amp; @mas many times! i was on that same flight on malaysia air from kl to beijing once!"""
Rant,"""bmullin1403 @westicles_chi @ryanmheineken @nightmareonhelm @pshnazz we should think of flying @mas tbh"""
